RunID,Power,TurnNum,Phase,InteractionType,CharLength,TokenCount,PromptSnippet
run_20250418_134914,ITALY,1,S1901M,NEGOTIATION_ROUND_1,2811,827,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_134914,ITALY,2,S1901M,NEGOTIATION_ROUND_2,3749,1026,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_134914,ITALY,3,S1901M,ORDER_SUBMISSION,3821,1081,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: F NAP, A ROM, A V..."
run_20250418_134914,ITALY,4,F1901M,NEGOTIATION_ROUND_1,3790,1029,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_134914,GERMANY,1,S1901M,NEGOTIATION_ROUND_1,2813,827,"You are GERMANY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in nego..."
run_20250418_134914,GERMANY,2,S1901M,NEGOTIATION_ROUND_2,3698,1040,"You are GERMANY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in nego..."
run_20250418_134914,GERMANY,3,S1901M,ORDER_SUBMISSION,4533,1242,"You are GERMANY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: F KIE, A BER, A..."
run_20250418_134914,GERMANY,4,F1901M,NEGOTIATION_ROUND_1,3716,1016,"You are GERMANY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in nego..."
run_20250418_134914,AUSTRIA,1,S1901M,NEGOTIATION_ROUND_1,2813,827,"You are AUSTRIA, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in nego..."
run_20250418_134914,AUSTRIA,2,S1901M,NEGOTIATION_ROUND_2,3705,1026,"You are AUSTRIA, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in nego..."
run_20250418_134914,AUSTRIA,3,S1901M,ORDER_SUBMISSION,3695,1052,"You are AUSTRIA, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: A BUD, A VIE, F..."
run_20250418_134914,AUSTRIA,4,F1901M,NEGOTIATION_ROUND_1,4028,1078,"You are AUSTRIA, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in nego..."
run_20250418_134914,FRANCE,1,S1901M,NEGOTIATION_ROUND_1,2812,824,"You are FRANCE, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negot..."
run_20250418_134914,FRANCE,2,S1901M,NEGOTIATION_ROUND_2,3621,998,"You are FRANCE, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negot..."
run_20250418_134914,FRANCE,3,S1901M,ORDER_SUBMISSION,4018,1145,"You are FRANCE, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: F BRE, A MAR, A ..."
run_20250418_134914,FRANCE,4,F1901M,NEGOTIATION_ROUND_1,3797,1037,"You are FRANCE, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negot..."
run_20250418_134914,TURKEY,1,S1901M,NEGOTIATION_ROUND_1,2812,827,"You are TURKEY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negot..."
run_20250418_134914,TURKEY,2,S1901M,NEGOTIATION_ROUND_2,3643,1018,"You are TURKEY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negot..."
run_20250418_134914,TURKEY,3,S1901M,ORDER_SUBMISSION,3782,1087,"You are TURKEY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: F ANK, A CON, A ..."
run_20250418_134914,TURKEY,4,F1901M,NEGOTIATION_ROUND_1,3763,1041,"You are TURKEY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negot..."
